element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Zhao2019_Chlorpyrifos_Human,model,,,rdf,BQB_HAS_PROPERTY,,
Zhao2019_Chlorpyrifos_Human,model,,,rdf,BQB_HAS_TAXON,,
Gut,compartment,,,rdf,BQM_IS,,
Liver,compartment,,,rdf,BQM_IS,,
Blood,compartment,,,rdf,BQM_IS,,
Rest,compartment,,,rdf,BQM_IS,,
AGut,species,,,rdf,BQM_IS,,
AGut,species,,,rdf,BQB_IS,,
ALiver,species,,,rdf,BQM_IS,,
ALiver,species,,,rdf,BQB_IS,,
ABlood,species,,,rdf,BQM_IS,,
ABlood,species,,,rdf,BQB_IS,,
ARest,species,,,rdf,BQM_IS,,
ARest,species,,,rdf,BQB_IS,,
ALiverMet1,species,,,rdf,BQM_IS,,
ALiverMet1,species,,,rdf,BQB_IS,,
ALiverMet2,species,,,rdf,BQM_IS,,
ALiverMet2,species,,,rdf,BQB_IS,,
ALiverMet3,species,,,rdf,BQM_IS,,
ALiverMet3,species,,,rdf,BQB_IS,,
BW,parameter,,,rdf,BQM_IS,,
BW,parameter,,,rdf,BQB_IS,,
VLc,parameter,,,rdf,BQM_IS,,
VLc,parameter,,,rdf,BQB_IS,,
VBc,parameter,,,rdf,BQM_IS,,
VBc,parameter,,,rdf,BQB_IS,,
VL,parameter,,,rdf,BQM_IS,,
VL,parameter,,,rdf,BQB_IS,,
VB,parameter,,,rdf,BQM_IS,,
VB,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
QLc,parameter,,,rdf,BQM_IS,,
QLc,parameter,,,rdf,BQB_IS,,
QL,parameter,,,rdf,BQM_IS,,
QL,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
PL,parameter,,,rdf,BQM_IS,,
PL,parameter,,,rdf,BQB_IS,,
PRest,parameter,,,rdf,BQM_IS,,
PRest,parameter,,,rdf,BQB_IS,,
kabs,parameter,,,rdf,BQM_IS,,
kabs,parameter,,,rdf,BQB_IS,,
KmLMet1,parameter,,,rdf,BQM_IS,,
KmLMet1,parameter,,,rdf,BQB_IS,,
VmaxLMet1C,parameter,,,rdf,BQM_IS,,
VmaxLMet1C,parameter,,,rdf,BQB_IS,,
VmaxLMet1,parameter,,,rdf,BQM_IS,,
VmaxLMet1,parameter,,,rdf,BQB_IS,,
KmLMet2,parameter,,,rdf,BQM_IS,,
KmLMet2,parameter,,,rdf,BQB_IS,,
VmaxLMet2C,parameter,,,rdf,BQM_IS,,
VmaxLMet2C,parameter,,,rdf,BQB_IS,,
VmaxLMet2,parameter,,,rdf,BQM_IS,,
VmaxLMet2,parameter,,,rdf,BQB_IS,,
KmLMet3,parameter,,,rdf,BQM_IS,,
KmLMet3,parameter,,,rdf,BQB_IS,,
VmaxLMet3C,parameter,,,rdf,BQM_IS,,
VmaxLMet3C,parameter,,,rdf,BQB_IS,,
VmaxLMet3,parameter,,,rdf,BQM_IS,,
VmaxLMet3,parameter,,,rdf,BQB_IS,,
CBlood,parameter,,,rdf,BQM_IS,,
CBlood,parameter,,,rdf,BQB_IS,,
CLiver,parameter,,,rdf,BQM_IS,,
CLiver,parameter,,,rdf,BQB_IS,,
CVL,parameter,,,rdf,BQM_IS,,
CVL,parameter,,,rdf,BQB_IS,,
CRest,parameter,,,rdf,BQM_IS,,
CRest,parameter,,,rdf,BQB_IS,,
