idModelInstance,Parameter,Value,Unit,Description,Reference
Bechaux2014_Cd_Human_Male_PARAM,Age,30.0,,,
Bechaux2014_Cd_Human_Male_PARAM,BW,70.0,,body weight,
Bechaux2014_Cd_Human_Male_PARAM,C5,0.05,,,
Bechaux2014_Cd_Human_Male_PARAM,C6,0.05,,,
Bechaux2014_Cd_Human_Male_PARAM,C7,0.25,,,
Bechaux2014_Cd_Human_Male_PARAM,C8,1.0,,,
Bechaux2014_Cd_Human_Male_PARAM,C9,0.44,,,
Bechaux2014_Cd_Human_Male_PARAM,C10,0.00014,,,
Bechaux2014_Cd_Human_Male_PARAM,C12,0.25,,,
Bechaux2014_Cd_Human_Male_PARAM,C13,3e-05,,,
Bechaux2014_Cd_Human_Male_PARAM,C14,0.00016,,,
Bechaux2014_Cd_Human_Male_PARAM,C16,0.012,,,
Bechaux2014_Cd_Human_Male_PARAM,C17,0.95,,,
Bechaux2014_Cd_Human_Male_PARAM,C18,1e-05,,,
Bechaux2014_Cd_Human_Male_PARAM,CX,0.04,,,
